Filename,Subject,Vowel,F0,F1_50,F2_50,F3_50,F4,Duration
subj50_f_saco_274,subj50,a,192.30810670628333,673.3874494203692,1540.0472133846447,2716.1794174744196,3882.7408874933903,0.09539816891873444
subj50_f_saque_249,subj50,a,180.33005220147277,670.7585452364394,1649.1938559839043,2966.395345114327,4054.1494705753807,0.10465040295221684
subj50_f_saque_77,subj50,a,186.2448284139812,618.2611002619125,1723.6176595798156,2596.5816467102013,3949.6916205051098,0.10351961139495812
subj50_f_seca_112,subj50,e,196.65592665569773,567.6437029514516,2397.5242963495743,3023.362919977649,4388.0392253577575,0.09099367518980728
subj50_f_seca_246,subj50,e,203.8220901651177,597.9344809248132,2275.8644153358778,2938.100268483589,4315.709679025428,0.10826445214951264
subj50_f_seco_185,subj50,e,214.54296642182055,590.4332637870431,2420.1294931434563,3095.1624822313397,4524.651533297364,0.11267388874662744
subj50_f_seco_84,subj50,e,209.32561816555912,604.8136801264674,2336.8780709224648,3126.401998167198,4505.462707784401,0.10568851702824134
subj50_f_seque_119,subj50,e,210.24129007405855,531.6167022235135,2514.0514877932046,3214.0917953229323,4200.570871264749,0.07356994585192922
subj50_f_seque_226,subj50,e,199.19727728968755,557.7172452766137,2120.174059160528,2977.058604458174,4448.406019897419,0.0884081818559821
subj50_f_seso_142,subj50,e,201.96113905395177,593.0603065238188,2270.165284495522,3124.1162791538454,4462.792461219517,0.11695172096435158
subj50_f_seso_191,subj50,e,199.0827150968767,581.5904344692591,2324.3065596581487,3178.5203593215483,4518.885140362249,0.13411689099072532
subj50_f_supe_158,subj50,u,222.6637911346588,380.2118296889025,953.5104236545446,2836.35949896933,4199.2678064156835,0.12459892867039456
subj50_f_supe_223,subj50,u,227.77293214218903,423.4970622285511,1142.304458427825,2786.2226751815506,4172.452994996732,0.08629950430588451
subj50_f_supo_152,subj50,u,226.5487957456458,428.54207010691266,1137.6069204383464,2850.229118975346,4426.48068818238,0.11840008602158036
subj50_f_supo_204,subj50,u,227.64414553460333,399.3530396462891,1121.6156687451055,2888.8786866325822,4226.8556935668,0.11699069869794698
subj50_f_toca_179,subj50,o,222.21589391140444,575.8463722885814,853.6755373804426,2685.4284042313484,4162.980415813592,0.09140016818210484
subj50_f_toca_51,subj50,o,206.65743966216843,706.5508178674123,966.4745941116188,2865.9980920393896,3990.7972630421914,0.0916814351061248
subj50_f_toco_282,subj50,o,198.04055266176059,512.7304305699789,1048.0937478541932,2650.9522820449647,3940.758835833048,0.05970428184701859
subj50_f_toco_65,subj50,o,193.58104527688775,579.9093617410937,1036.942125652597,2652.987738472655,4110.178946728231,0.07411552720101611
subj50_f_toque_211,subj50,o,188.09568708815388,533.0195607820331,1029.4931911221329,2617.9244555717564,4045.738721725977,0.0735040579350823
subj50_f_toque_61,subj50,o,196.8212984595188,601.3737139359924,938.9479973309806,2735.3571004628066,4038.6262055154953,0.07667132722163927
subj50_f_tusa_145,subj50,u,217.49948247908452,384.38141862264285,881.3198555948046,2953.847118556645,4379.8802947035865,0.1150779057949194
subj50_f_tusa_252,subj50,u,207.70462295875495,393.5327196364954,2713.648857990751,4191.114066243741,4510.25894084204,0.11452335846331609
subj50_f_vara_106,subj50,a,195.66850187579897,854.6856417694037,1430.032189174653,2667.866665221261,3636.605349793755,0.09604587592451708
subj50_f_vara_271,subj50,a,187.02563731557555,886.7483018511481,1573.6511563117144,2886.3111764597843,4274.2111295035775,0.117674521944366
subj50_f_vaso_91,subj50,a,189.01573157415856,734.1239406414685,1357.0252189679886,2663.470728540065,3914.817250000732,0.15030556747484525
subj50_f_vata_155,subj50,a,186.35205418936516,823.2723976461161,1520.4223935812254,3079.818514004275,4240.53657440331,0.08856114646252422
subj50_f_vato_208,subj50,a,191.12023004485695,766.1872322454789,1537.0511256711418,3269.598469014062,3504.126809874113,0.11459003396763023
subj50_f_vete_128,subj50,e,189.33085297515913,528.5516744895463,2640.171065917119,3326.606128093639,4507.952273533832,0.06729729945607232
subj50_f_vete_233,subj50,e,189.006088670092,551.3684224677943,2222.298006186173,2931.4919017452257,4207.1647598909385,0.1002098922414234
subj50_f_veto_229,subj50,e,191.0407071684147,557.9749538940733,2151.1072275508723,3005.521185950661,4207.160998778798,0.09612821992232055
subj50_f_viso_167,subj50,i,208.2622790003341,337.97981414616623,2723.220701687992,3101.0841588904595,4272.004618781492,0.08539739703837768
subj50_f_viso_201,subj50,i,198.86951487867523,361.7454029096366,2678.3992796189696,2974.8414517026526,4088.3431040887695,0.09216487310553134
subj50_f_voto_198,subj50,o,197.83688606037637,535.4241004743283,1181.677067888745,3066.5963923430213,3904.702406101044,0.09149176660713464
subj50_f_voto_97,subj50,o,183.6575000100209,546.7538874526011,880.6557301629227,2969.346550344409,3782.562332689218,0.11394119656935686
subj51_f_bata_145,subj51,a,218.0989911559404,849.4070450259288,1657.3380426882495,2914.5596999594964,4356.990439947574,0.12242437485824098
subj51_f_beta_251,subj51,e,217.13000708249012,611.6857015826308,2131.693115681092,2992.398832642276,4247.663585719588,0.08808272807081607
subj51_f_beta_73,subj51,e,228.0804046379995,617.0765357172612,2361.906805618623,3095.6100651200427,4376.016362514373,0.0903804747647854
subj51_f_bota_254,subj51,o,210.9998210870973,436.64165227567526,855.649626722561,3017.9816248098523,3611.662529565748,0.10446139267051537
subj51_f_bota_76,subj51,o,223.1249596245751,500.4128246316157,945.7974175062976,3031.9675443255223,3603.062442681148,0.10912969109323
subj51_f_bote_177,subj51,o,227.31041621698873,567.7344329217951,1003.401443551657,3140.1421066530247,3836.818711709451,0.11749260951310704
subj51_f_bote_216,subj51,o,223.69194853442616,494.1829158166147,936.3611534064715,3117.4218650188973,3665.894581590528,0.0908109860093873
subj51_f_buque_295,subj51,u,242.65099615085867,427.2573283479992,741.6825038844423,3062.719299153038,3974.168137288524,0.08885455957670274
subj51_f_coro_267,subj51,o,111.1417948425564,516.593397880756,978.3509024275074,2585.103883342027,3584.5455996518317,0.14859544065330965
